t,action,id,from,to
2,1,510-87-510,510-87,510
2,1,510-87-87,510-87,87
2,1,510-87-100,510-87,100
4,1,1-92-1,1-92,1
4,1,1-92-92,1-92,92
4,1,1-92-102,1-92,102
6,1,1-92-135,1-92,135
8,1,2-511-2,2-511,2
8,1,2-511-511,2-511,511
8,1,2-511-103,2-511,103
10,1,512-84-512,512-84,512
10,1,512-84-84,512-84,84
10,1,512-84-105,512-84,105
12,1,513-84-513,513-84,513
12,1,513-84-84,513-84,84
12,1,513-84-137,513-84,137
14,1,513-72-513,513-72,513
14,1,513-72-72,513-72,72
14,1,513-72-139,513-72,139
16,1,513-514-513,513-514,513
16,1,513-514-514,513-514,514
16,1,513-514-107,513-514,107
18,1,515-61-515,515-61,515
18,1,515-61-61,515-61,61
18,1,515-61-141,515-61,141
20,1,6-87-6,6-87,6
20,1,6-87-87,6-87,87
20,1,6-87-108,6-87,108
22,1,6-85-6,6-85,6
22,1,6-85-85,6-85,85
22,1,6-85-109,6-85,109
24,1,13-74-13,13-74,13
24,1,13-74-74,13-74,74
24,1,13-74-110,13-74,110
26,1,13-70-13,13-70,13
26,1,13-70-70,13-70,70
26,1,13-70-144,13-70,144
28,1,13-62-13,13-62,13
28,1,13-62-62,13-62,62
28,1,13-62-146,13-62,146
30,1,15-516-15,15-516,15
30,1,15-516-516,15-516,516
30,1,15-516-111,15-516,111
32,1,517-511-517,517-511,517
32,1,517-511-511,517-511,511
32,1,517-511-148,517-511,148
34,1,517-511-113,517-511,113
36,1,518-50-518,518-50,518
36,1,518-50-50,518-50,50
36,1,518-50-152,518-50,152
38,1,26-519-26,26-519,26
38,1,26-519-519,26-519,519
38,1,26-519-153,26-519,153
40,1,26-92-26,26-92,26
40,1,26-92-92,26-92,92
40,1,26-92-154,26-92,154
42,1,13-520-13,13-520,13
42,1,13-520-520,13-520,520
42,1,13-520-155,13-520,155
44,1,30-521-30,30-521,30
44,1,30-521-521,30-521,521
44,1,30-521-157,30-521,157
46,1,30-516-30,30-516,30
46,1,30-516-516,30-516,516
46,1,30-516-116,30-516,116
48,1,30-522-30,30-522,30
48,1,30-522-522,30-522,522
48,1,30-522-118,30-522,118
50,1,30-87-30,30-87,30
50,1,30-87-87,30-87,87
50,1,30-87-158,30-87,158
52,1,30-87-159,30-87,159
54,1,523-522-523,523-522,523
54,1,523-522-522,523-522,522
54,1,523-522-160,523-522,160
56,1,13-519-13,13-519,13
56,1,13-519-519,13-519,519
56,1,13-519-161,13-519,161
58,1,13-55-13,13-55,13
58,1,13-55-55,13-55,55
58,1,13-55-162,13-55,162
60,1,33-56-33,33-56,33
60,1,33-56-56,33-56,56
60,1,33-56-119,33-56,119
62,1,33-56-120,33-56,120
64,1,34-98-34,34-98,34
64,1,34-98-98,34-98,98
64,1,34-98-121,34-98,121
66,1,34-85-34,34-85,34
66,1,34-85-85,34-85,85
66,1,34-85-164,34-85,164
68,1,510-73-510,510-73,510
68,1,510-73-73,510-73,73
68,1,510-73-122,510-73,122
70,1,39-65-39,39-65,39
70,1,39-65-65,39-65,65
70,1,39-65-124,39-65,124
72,1,524-79-524,524-79,524
72,1,524-79-79,524-79,79
72,1,524-79-125,524-79,125
74,1,524-79-127,524-79,127
76,1,525-521-525,525-521,525
76,1,525-521-521,525-521,521
76,1,525-521-169,525-521,169
78,1,525-521-128,525-521,128
80,1,526-78-526,526-78,526
80,1,526-78-78,526-78,78
80,1,526-78-130,526-78,130
82,1,526-84-526,526-84,526
82,1,526-84-84,526-84,84
82,1,526-84-131,526-84,131
84,1,47-84-47,47-84,47
84,1,47-84-84,47-84,84
84,1,47-84-132,47-84,132
86,1,49-65-49,49-65,49
86,1,49-65-65,49-65,65
86,1,49-65-134,49-65,134
88,1,527-161-527,527-161,527
88,1,527-161-161,527-161,161
88,1,527-161-173,527-161,173
90,1,528-58-528,528-58,528
90,1,528-58-58,528-58,58
90,1,528-58-527,528-58,527
92,1,103-529-103,103-529,103
92,1,103-529-529,103-529,529
92,1,103-529-198,103-529,198
94,1,528-73-528,528-73,528
94,1,528-73-73,528-73,73
94,1,528-73-529,528-73,529
96,1,109-530-109,109-530,109
96,1,109-530-530,109-530,530
96,1,109-530-178,109-530,178
98,1,11-88-11,11-88,11
98,1,11-88-88,11-88,88
98,1,11-88-530,11-88,530
100,1,109-531-109,109-531,109
100,1,109-531-531,109-531,531
100,1,109-531-179,109-531,179
102,1,524-79-531,524-79,531
104,1,119-169-119,119-169,119
104,1,119-169-169,119-169,169
104,1,119-169-189,119-169,189
106,1,119-169-207,119-169,207
108,1,532-533-532,532-533,532
108,1,532-533-533,532-533,533
108,1,532-533-224,532-533,224
110,1,23-514-23,23-514,23
110,1,23-514-514,23-514,514
110,1,23-514-532,23-514,532
112,1,48-92-48,48-92,48
112,1,48-92-92,48-92,92
112,1,48-92-533,48-92,533
113,0,510-87-100,510-87,100
113,0,510-87-510,510-87,510
113,0,510-87-87,510-87,87
114,1,510-87-510,510-87,510
114,1,510-87-87,510-87,87
114,1,510-87-100,510-87,100
115,0,1-92-102,1-92,102
116,1,1-92-102,1-92,102
117,0,1-92-135,1-92,135
118,1,1-92-135,1-92,135
119,0,2-511-103,2-511,103
119,0,2-511-2,2-511,2
119,0,2-511-511,2-511,511
120,1,2-534-2,2-534,2
120,1,2-534-534,2-534,534
