t,action,id,label,level,group
0,1,1,1,6,11
0,1,2,2,6,11
0,1,6,6,6,11
0,1,8,8,6,11
0,1,9,9,6,11
0,1,11,11,6,11
0,1,13,13,6,11
0,1,14,14,6,11
0,1,15,15,6,11
0,1,16,16,6,11
0,1,17,17,6,11
0,1,23,23,6,11
0,1,26,26,6,11
0,1,29,29,6,11
0,1,30,30,6,11
0,1,32,32,6,11
0,1,33,33,6,11
0,1,34,34,6,11
0,1,37,37,6,11
0,1,38,38,6,11
0,1,39,39,6,11
0,1,40,40,6,11
0,1,43,43,6,11
0,1,47,47,6,11
0,1,48,48,6,11
0,1,49,49,6,11
0,1,50,50,6,21
0,1,55,55,6,21
0,1,56,56,6,21
0,1,57,57,6,21
0,1,58,58,6,21
0,1,59,59,6,21
0,1,61,61,6,21
0,1,62,62,6,21
0,1,63,63,6,21
0,1,65,65,6,21
0,1,66,66,6,21
0,1,67,67,6,21
0,1,70,70,6,21
0,1,71,71,6,21
0,1,72,72,6,21
0,1,73,73,6,21
0,1,74,74,6,21
0,1,76,76,6,21
0,1,78,78,6,21
0,1,79,79,6,21
0,1,80,80,6,21
0,1,82,82,6,21
0,1,83,83,6,21
0,1,84,84,6,21
0,1,85,85,6,21
0,1,87,87,6,21
0,1,88,88,6,21
0,1,89,89,6,21
0,1,90,90,6,21
0,1,92,92,6,21
0,1,93,93,6,21
0,1,94,94,6,21
0,1,96,96,6,21
0,1,98,98,6,21
0,1,100,100,4,11
0,1,102,102,4,11
0,1,135,135,4,21
0,1,103,103,4,11
0,1,105,105,4,11
0,1,137,137,4,21
0,1,139,139,4,21
0,1,107,107,4,11
0,1,141,141,4,21
0,1,108,108,4,11
0,1,109,109,4,11
0,1,110,110,4,11
0,1,144,144,4,21
0,1,146,146,4,21
0,1,111,111,4,11
0,1,148,148,4,21
0,1,113,113,4,11
0,1,152,152,4,21
0,1,153,153,4,21
0,1,154,154,4,21
0,1,155,155,4,21
0,1,157,157,4,21
0,1,116,116,4,11
0,1,118,118,4,11
0,1,158,158,4,21
0,1,159,159,4,21
0,1,160,160,4,21
0,1,161,161,4,21
0,1,162,162,4,21
0,1,119,119,4,11
0,1,120,120,4,11
0,1,121,121,4,11
0,1,164,164,4,21
0,1,122,122,4,11
0,1,124,124,4,11
0,1,125,125,4,11
0,1,127,127,4,11
0,1,169,169,4,21
0,1,128,128,4,11
0,1,130,130,4,11
0,1,131,131,4,11
0,1,132,132,4,11
0,1,134,134,4,11
0,1,173,173,2,11
0,1,198,198,2,21
0,1,178,178,2,11
0,1,179,179,2,11
0,1,189,189,2,11
0,1,207,207,2,21
0,1,224,224,2,21
1,2,100,100,4,11
2,1,510,510,6,10
2,1,510-87,510-87,5,m-nodes
2,3,100,100,4,11
3,2,102,102,4,11
4,1,1-92,1-92,5,m-nodes
4,3,102,102,4,11
5,2,135,135,4,21
6,3,135,135,4,21
7,2,103,103,4,11
8,1,511,511,6,20
8,1,2-511,2-511,5,m-nodes
8,3,103,103,4,11
9,2,105,105,4,11
10,1,512,512,6,10
10,1,512-84,512-84,5,m-nodes
10,3,105,105,4,11
11,2,137,137,4,21
12,1,513,513,6,10
12,1,513-84,513-84,5,m-nodes
12,3,137,137,4,21
13,2,139,139,4,21
14,1,513-72,513-72,5,m-nodes
14,3,139,139,4,21
15,2,107,107,4,11
16,1,514,514,6,20
16,1,513-514,513-514,5,m-nodes
16,3,107,107,4,11
17,2,141,141,4,21
18,1,515,515,6,10
18,1,515-61,515-61,5,m-nodes
18,3,141,141,4,21
19,2,108,108,4,11
20,1,6-87,6-87,5,m-nodes
20,3,108,108,4,11
21,2,109,109,4,11
22,1,6-85,6-85,5,m-nodes
22,3,109,109,4,11
23,2,110,110,4,11
24,1,13-74,13-74,5,m-nodes
24,3,110,110,4,11
25,2,144,144,4,21
26,1,13-70,13-70,5,m-nodes
26,3,144,144,4,21
27,2,146,146,4,21
28,1,13-62,13-62,5,m-nodes
28,3,146,146,4,21
29,2,111,111,4,11
30,1,516,516,6,20
30,1,15-516,15-516,5,m-nodes
30,3,111,111,4,11
31,2,148,148,4,21
32,1,517,517,6,10
32,1,517-511,517-511,5,m-nodes
32,3,148,148,4,21
33,2,113,113,4,11
34,3,113,113,4,11
35,2,152,152,4,21
36,1,518,518,6,10
36,1,518-50,518-50,5,m-nodes
36,3,152,152,4,21
37,2,153,153,4,21
38,1,519,519,6,20
38,1,26-519,26-519,5,m-nodes
38,3,153,153,4,21
39,2,154,154,4,21
40,1,26-92,26-92,5,m-nodes
40,3,154,154,4,21
41,2,155,155,4,21
42,1,520,520,6,20
42,1,13-520,13-520,5,m-nodes
42,3,155,155,4,21
43,2,157,157,4,21
44,1,521,521,6,20
44,1,30-521,30-521,5,m-nodes
44,3,157,157,4,21
